"location","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","population_2021","life_expectancy_2021"
"Oman","OMN",2021-12-16,5934585,3120714,2889245,113.62,59.75,55.31,5223376,77.99
"Pakistan","PAK",2021-12-16,138365328,86968178,59361468,61.44,38.62,26.36,225199929,67.48
"Palestine","PSE",2021-12-06,3184868,2020110,1403992,60.98,38.68,26.88,5222756,77.51
"Panama","PAN",2021-12-17,5716902,3019864,2453989,130.48,68.92,56.01,4381583,80
"Papua New Guinea","PNG",2021-12-13,498598,282571,216027,5.47,3.1,2.37,9119005,59.34
"Paraguay","PRY",2021-12-17,6489760,3444261,2871213,89.89,47.71,39.77,7219641,76.6
"Peru","PER",2021-12-14,45659047,23574494,20086571,136.87,70.67,60.21,33359416,81.23
"Philippines","PHL",2021-12-02,90259621,56110301,37353438,81.28,50.53,33.64,111046910,70.25
"Poland","POL",2021-12-17,45334408,21331952,20814451,119.94,56.44,55.07,37797000,78.71
"Portugal","PRT",2021-12-17,18626767,9053901,9047148,183.19,89.04,88.98,10167923,82.2
"Qatar","QAT",2021-09-11,4578600,2360308,2218292,156.24,80.54,75.7,2930524,80.73
"Romania","ROU",2021-09-27,10071932,5478579,5338990,52.66,28.64,27.91,19127772,75.7
"Russia","RUS",2021-12-17,138517750,71003850,62751255,94.93,48.66,43.01,145912022,72.81
"Rwanda","RWA",2021-12-15,11030100,6847793,4182307,83.08,51.58,31.5,13276517,69.74
"Samoa","WSM",2021-12-13,262895,141356,121539,131.35,70.63,60.73,200144,73.4
"Sao Tome and Principe","STP",2021-12-13,137612,86396,51216,61.61,38.68,22.93,223364,67.67
"Saudi Arabia","SAU",2021-12-17,48293632,24845946,22895205,136.65,70.3,64.78,35340680,77.43
"Senegal","SEN",2021-12-15,2269383,1328153,941230,13.2,7.72,5.47,17196308,69.16
"Serbia","SRB",2021-12-14,8099998,3291994,3172131,117.88,47.91,46.16,8697547,76.31
"Seychelles","SYC",2021-12-10,182903,82117,78214,184.92,83.02,79.08,98910,73.92
"Sierra Leone","SLE",2021-12-08,923880,747044,385232,11.35,9.18,4.73,8141343,62.14
